ENTREZ_GENE_ID	Name	Species
84458	ligand dependent nuclear receptor corepressor	Homo sapiens
80381	CD276 molecule	Homo sapiens
1805	dermatopontin	Homo sapiens
2918	glutamate receptor, metabotropic 8	Homo sapiens
79038	zinc finger, FYVE domain containing 21	Homo sapiens
55794	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	Homo sapiens
776	calcium channel, voltage-dependent, L type, alpha 1D subunit	Homo sapiens
91252	solute carrier family 39 (zinc transporter), member 13	Homo sapiens
7706	tripartite motif-containing 25	Homo sapiens
54926	ubiquitin-conjugating enzyme E2R 2	Homo sapiens
170463	single stranded DNA binding protein 4	Homo sapiens
4686	nuclear cap binding protein subunit 1, 80kDa	Homo sapiens
23450	splicing factor 3b, subunit 3, 130kDa	Homo sapiens
8493	protein phosphatase 1D magnesium-dependent, delta isoform	Homo sapiens
8659	aldehyde dehydrogenase 4 family, member A1	Homo sapiens
10634	growth arrest-specific 2 like 1	Homo sapiens
7874	ubiquitin specific peptidase 7 (herpes virus-associated)	Homo sapiens
100130274	similar to hCG1646697	Homo sapiens
140706	chromosome 20 open reading frame 160	Homo sapiens
85379	KIAA1671 protein	Homo sapiens
730094	chromosome 16 open reading frame 52	Homo sapiens
7764	zinc finger protein 217	Homo sapiens
689	basic transcription factor 3; basic transcription factor 3, like 1 pseudogene	Homo sapiens
114781	BTB (POZ) domain containing 9	Homo sapiens
26470	seizure related 6 homolog (mouse)-like 2	Homo sapiens
80194	transmembrane protein 134	Homo sapiens
6942	transcription factor 20 (AR1)	Homo sapiens
9099	ubiquitin specific peptidase 2	Homo sapiens
6482	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	Homo sapiens
252995	fibronectin type III domain containing 5	Homo sapiens
284352	leucine rich repeat containing 68	Homo sapiens
55832	cullin-associated and neddylation-dissociated 1	Homo sapiens
7015	telomerase reverse transcriptase	Homo sapiens
84173	ELMO/CED-12 domain containing 3	Homo sapiens
79751	solute carrier family 25 (mitochondrial carrier: glutamate), member 22	Homo sapiens
54476	ring finger protein 216	Homo sapiens
55818	lysine (K)-specific demethylase 3A	Homo sapiens
11259	filamin A interacting protein 1-like	Homo sapiens
7905	receptor accessory protein 5	Homo sapiens
11319	ecdysoneless homolog (Drosophila)	Homo sapiens
378938	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	Homo sapiens
9267	cytohesin 1	Homo sapiens
81488	glutamate receptor, ionotropic, N-methyl D-aspartate-like 1B; glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A; GRINL1A complex locus	Homo sapiens
54822	transient receptor potential cation channel, subfamily M, member 7	Homo sapiens
157570	establishment of cohesion 1 homolog 2 (S. cerevisiae)	Homo sapiens
54762	GRAM domain containing 1C	Homo sapiens
11261	calcium binding protein P22	Homo sapiens
60673	chromosome 12 open reading frame 44	Homo sapiens
2962	general transcription factor IIF, polypeptide 1, 74kDa	Homo sapiens
2184	fumarylacetoacetate hydrolase (fumarylacetoacetase)	Homo sapiens
91461	protein kinase-like protein SgK493	Homo sapiens
93185	immunoglobulin superfamily, member 8	Homo sapiens
114907	F-box protein 32	Homo sapiens
51042	zinc finger protein 593	Homo sapiens
7409	vav 1 guanine nucleotide exchange factor	Homo sapiens
79665	similar to DEAH (Asp-Glu-Ala-His) box polypeptide 40; DEAH (Asp-Glu-Ala-His) box polypeptide 40	Homo sapiens
4353	myeloperoxidase	Homo sapiens
79042	tRNA splicing endonuclease 34 homolog (S. cerevisiae)	Homo sapiens
55608	ankyrin repeat domain 10	Homo sapiens
54101	receptor-interacting serine-threonine kinase 4	Homo sapiens
5913	receptor-associated protein of the synapse	Homo sapiens
3662	interferon regulatory factor 4	Homo sapiens
3752	potassium voltage-gated channel, Shal-related subfamily, member 3	Homo sapiens
124872	beta-1,4-N-acetyl-galactosaminyl transferase 2	Homo sapiens
57451	odz, odd Oz/ten-m homolog 2 (Drosophila)	Homo sapiens
22944	KIN, antigenic determinant of recA protein homolog (mouse)	Homo sapiens
340419	R-spondin 2 homolog (Xenopus laevis)	Homo sapiens
10718	neuregulin 3	Homo sapiens
9475	Rho-associated, coiled-coil containing protein kinase 2	Homo sapiens
3028	hydroxysteroid (17-beta) dehydrogenase 10	Homo sapiens
145773	family with sequence similarity 81, member A	Homo sapiens
5516	protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform	Homo sapiens
81037	CLPTM1-like	Homo sapiens
6621	small nuclear RNA activating complex, polypeptide 4, 190kDa	Homo sapiens
3054	host cell factor C1 (VP16-accessory protein)	Homo sapiens
572	BCL2-associated agonist of cell death	Homo sapiens
130507	ubiquitin protein ligase E3 component n-recognin 3 (putative)	Homo sapiens
79817	MOB1, Mps One Binder kinase activator-like 2B (yeast)	Homo sapiens
25807	rhomboid domain containing 3	Homo sapiens
27	v-abl Abelson murine leukemia viral oncogene homolog 2 (arg, Abelson-related gene)	Homo sapiens
3920	lysosomal-associated membrane protein 2	Homo sapiens
55732	chromosome 1 open reading frame 112	Homo sapiens
5728	phosphatase and tensin homolog; phosphatase and tensin homolog pseudogene 1	Homo sapiens
91851	chordin-like 1	Homo sapiens
256380	sex comb on midleg-like 4 (Drosophila)	Homo sapiens
57217	tetratricopeptide repeat domain 7A	Homo sapiens
4744	neurofilament, heavy polypeptide	Homo sapiens
8476	CDC42 binding protein kinase alpha (DMPK-like)	Homo sapiens
5700	proteasome (prosome, macropain) 26S subunit, ATPase, 1; similar to protease (prosome, macropain) 26S subunit, ATPase 1	Homo sapiens
79444	baculoviral IAP repeat-containing 7	Homo sapiens
686	biotinidase	Homo sapiens
219743	trypsin domain containing 1	Homo sapiens
64121	Ras-related GTP binding C	Homo sapiens
3960	lectin, galactoside-binding, soluble, 4	Homo sapiens
26576	SFRS protein kinase 3	Homo sapiens
417	ADP-ribosyltransferase 1	Homo sapiens
23370	Rho/Rac guanine nucleotide exchange factor (GEF) 18	Homo sapiens
10245	translocase of inner mitochondrial membrane 17 homolog B (yeast)	Homo sapiens
26119	low density lipoprotein receptor adaptor protein 1	Homo sapiens
6304	SATB homeobox 1	Homo sapiens
5714	proteasome (prosome, macropain) 26S subunit, non-ATPase, 8	Homo sapiens
221002	RasGEF domain family, member 1A	Homo sapiens
53615	methyl-CpG binding domain protein 3	Homo sapiens
400961	poly(A) binding protein interacting protein 2B	Homo sapiens
285600	chromosome 5 open reading frame 36	Homo sapiens
357	shroom family member 2	Homo sapiens
90332	exocyst complex component 3-like 2	Homo sapiens
10466	component of oligomeric golgi complex 5	Homo sapiens
113177	chromosome 19 open reading frame 36	Homo sapiens
392636	transmembrane protein 195	Homo sapiens
117246	FtsJ homolog 3 (E. coli)	Homo sapiens
317662	family with sequence similarity 149, member B1	Homo sapiens
51614	ERGIC and golgi 3	Homo sapiens
145553	magnesium-dependent phosphatase 1	Homo sapiens
79989	tetratricopeptide repeat domain 26	Homo sapiens
6499	superkiller viralicidic activity 2-like (S. cerevisiae)	Homo sapiens
84336	transmembrane protein 101	Homo sapiens
390445	olfactory receptor, family 5, subfamily AU, member 1	Homo sapiens
114805	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13); UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	Homo sapiens
2589	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13 (GalNAc-T13); UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 1 (GalNAc-T1)	Homo sapiens
9187	solute carrier family 24 (sodium/potassium/calcium exchanger), member 1	Homo sapiens
7136	troponin I type 2 (skeletal, fast)	Homo sapiens
84034	elastin microfibril interfacer 2	Homo sapiens
7018	transferrin	Homo sapiens
51554	chemokine (C-C motif) receptor-like 1	Homo sapiens
3652	intracisternal A particle-promoted polypeptide	Homo sapiens
90678	leucine rich repeat and sterile alpha motif containing 1	Homo sapiens
6529	solute carrier family 6 (neurotransmitter transporter, GABA), member 1	Homo sapiens
1289	collagen, type V, alpha 1	Homo sapiens
1509	cathepsin D	Homo sapiens
23632	carbonic anhydrase XIV	Homo sapiens
29028	ATPase family, AAA domain containing 2	Homo sapiens
23204	ADP-ribosylation factor-like 6 interacting protein 1	Homo sapiens
7364	UDP glucuronosyltransferase 2 family, polypeptide B7	Homo sapiens
26986	poly(A) binding protein, cytoplasmic pseudogene 5; poly(A) binding protein, cytoplasmic 1	Homo sapiens
55529	transmembrane protein 55A	Homo sapiens
144717	family with sequence similarity 109, member A	Homo sapiens
284076	tubulin tyrosine ligase-like family, member 6	Homo sapiens
353274	zinc finger protein 445	Homo sapiens
55914	erbb2 interacting protein	Homo sapiens
10345	triadin	Homo sapiens
4121	mannosidase, alpha, class 1A, member 1	Homo sapiens
7276	transthyretin	Homo sapiens
2027	enolase 3 (beta, muscle)	Homo sapiens
2153	coagulation factor V (proaccelerin, labile factor)	Homo sapiens
79187	fibronectin type III and SPRY domain containing 1	Homo sapiens
6760	synovial sarcoma translocation, chromosome 18	Homo sapiens
1001	cadherin 3, type 1, P-cadherin (placental)	Homo sapiens
5789	protein tyrosine phosphatase, receptor type, D	Homo sapiens
91584	plexin A4	Homo sapiens
5515	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	Homo sapiens
128	alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 4; alcohol dehydrogenase 5 (class III), chi polypeptide	Homo sapiens
30833	5', 3'-nucleotidase, cytosolic	Homo sapiens
9869	SET domain, bifurcated 1	Homo sapiens
23567	zinc finger protein 346	Homo sapiens
5685	proteasome (prosome, macropain) subunit, alpha type, 4	Homo sapiens
81567	thioredoxin domain containing 5 (endoplasmic reticulum); muted homolog (mouse)	Homo sapiens
80746	tRNA splicing endonuclease 2 homolog (S. cerevisiae)	Homo sapiens
81570	ClpB caseinolytic peptidase B homolog (E. coli)	Homo sapiens
389816	leucine rich repeat containing 26	Homo sapiens
222194	round spermatid basic protein 1-like	Homo sapiens
51194	importin 11	Homo sapiens
25912	chromosome 1 open reading frame 43	Homo sapiens
7381	similar to ubiquinol-cytochrome c reductase binding protein; ubiquinol-cytochrome c reductase binding protein pseudogene; ubiquinol-cytochrome c reductase binding protein	Homo sapiens
9377	cytochrome c oxidase subunit Va	Homo sapiens
81552	similar to EGFR-coamplified and overexpressed protein; EGFR-coamplified and overexpressed protein	Homo sapiens
1902	lysophosphatidic acid receptor 1	Homo sapiens
92565	fibronectin type III and ankyrin repeat domains 1	Homo sapiens
552889	hypothetical protein LOC552889	Homo sapiens
347475	UPF0625 coiled-coil domain-containing protein ENSP00000359845	Homo sapiens
541468	chromosome 1 open reading frame 190	Homo sapiens
54921	CTF8, chromosome transmission fidelity factor 8 homolog (S. cerevisiae)	Homo sapiens
51316	placenta-specific 8	Homo sapiens
1176	adaptor-related protein complex 3, sigma 1 subunit	Homo sapiens
404734	ankyrin repeat and KH domain containing 1; ANKHD1-EIF4EBP3 readthrough transcript; eukaryotic translation initiation factor 4E binding protein 3	Homo sapiens
8637	ankyrin repeat and KH domain containing 1; ANKHD1-EIF4EBP3 readthrough transcript; eukaryotic translation initiation factor 4E binding protein 3	Homo sapiens
54882	ankyrin repeat and KH domain containing 1; ANKHD1-EIF4EBP3 readthrough transcript; eukaryotic translation initiation factor 4E binding protein 3	Homo sapiens
84376	hook homolog 3 (Drosophila)	Homo sapiens
374655	zinc finger protein 710	Homo sapiens
164684	WBP2 N-terminal like	Homo sapiens
4609	v-myc myelocytomatosis viral oncogene homolog (avian)	Homo sapiens
23126	pogo transposable element with ZNF domain	Homo sapiens
31	acetyl-Coenzyme A carboxylase alpha	Homo sapiens
55176	Sec61 alpha 2 subunit (S. cerevisiae)	Homo sapiens
116987	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1	Homo sapiens
11317	recombination signal binding protein for immunoglobulin kappa J region-like	Homo sapiens
51690	LSM7 homolog, U6 small nuclear RNA associated (S. cerevisiae)	Homo sapiens
57538	alpha-kinase 3	Homo sapiens
92106	oxidoreductase NAD-binding domain containing 1	Homo sapiens
8242	lysine (K)-specific demethylase 5C	Homo sapiens
79068	fat mass and obesity associated	Homo sapiens
1612	death-associated protein kinase 1	Homo sapiens
124402	family with sequence similarity 100, member A	Homo sapiens
347240	kinesin family member 24	Homo sapiens
171017	zinc finger protein 384	Homo sapiens
23197	Fas associated factor family member 2	Homo sapiens
64081	phenazine biosynthesis-like protein domain containing	Homo sapiens
23636	nucleoporin 62kDa	Homo sapiens
6789	serine/threonine kinase 4	Homo sapiens
56103	protocadherin gamma subfamily B, 2	Homo sapiens
340351	ATP/GTP binding protein-like 3	Homo sapiens
9337	CCR4-NOT transcription complex, subunit 8	Homo sapiens
57706	DENN/MADD domain containing 1A	Homo sapiens
284323	zinc finger protein 780A	Homo sapiens
84879	major facilitator superfamily domain containing 2	Homo sapiens
79959	centrosomal protein 76kDa	Homo sapiens
83873	G protein-coupled receptor 61	Homo sapiens
9807	inositol hexakisphosphate kinase 1	Homo sapiens
1315	coatomer protein complex, subunit beta 1	Homo sapiens
26137	zinc finger and BTB domain containing 20	Homo sapiens
29799	yippee-like 1 (Drosophila)	Homo sapiens
2810	stratifin	Homo sapiens
10335	murine retrovirus integration site 1 homolog	Homo sapiens
5372	phosphomannomutase 1	Homo sapiens
2767	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)	Homo sapiens
5605	mitogen-activated protein kinase kinase 2 pseudogene; mitogen-activated protein kinase kinase 2	Homo sapiens
2961	general transcription factor IIE, polypeptide 2, beta 34kDa	Homo sapiens
55696	RNA binding motif protein 22	Homo sapiens
6895	TAR (HIV-1) RNA binding protein 2	Homo sapiens
23526	histocompatibility (minor) HA-1	Homo sapiens
196528	AT rich interactive domain 2 (ARID, RFX-like)	Homo sapiens
57120	golgi associated PDZ and coiled-coil motif containing	Homo sapiens
9024	BR serine/threonine kinase 2	Homo sapiens
27296	TP53 target 5	Homo sapiens
25821	mitochondrial translation optimization 1 homolog (S. cerevisiae)	Homo sapiens
90799	coiled-coil domain containing 45	Homo sapiens
3032	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	Homo sapiens
84310	chromosome 7 open reading frame 50	Homo sapiens
10870	hematopoietic cell signal transducer	Homo sapiens
5205	ATPase, class I, type 8B, member 1	Homo sapiens
123879	DCN1, defective in cullin neddylation 1, domain containing 3 (S. cerevisiae)	Homo sapiens
221079	ADP-ribosylation factor-like 5B	Homo sapiens
811	calreticulin	Homo sapiens
1054	CCAAT/enhancer binding protein (C/EBP), gamma	Homo sapiens
55111	pleckstrin homology domain containing, family J member 1	Homo sapiens
1028	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	Homo sapiens
283659	protogenin homolog (Gallus gallus)	Homo sapiens
29115	SAP30 binding protein	Homo sapiens
3875	keratin 18; keratin 18 pseudogene 26; keratin 18 pseudogene 19	Homo sapiens
219931	two pore segment channel 2	Homo sapiens
9957	heparan sulfate (glucosamine) 3-O-sulfotransferase 1	Homo sapiens
2969	general transcription factor II, i; general transcription factor II, i, pseudogene	Homo sapiens
348932	solute carrier family 6, member 18	Homo sapiens
23187	pleckstrin homology-like domain, family B, member 1	Homo sapiens
8508	nipsnap homolog 1 (C. elegans)	Homo sapiens
29851	inducible T-cell co-stimulator	Homo sapiens
3183	heterogeneous nuclear ribonucleoprotein C (C1/C2)	Homo sapiens
9317	phosphotriesterase related	Homo sapiens
2099	estrogen receptor 1	Homo sapiens
152940	chromosome 4 open reading frame 45	Homo sapiens
57412	arsenic (+3 oxidation state) methyltransferase	Homo sapiens
23506	KIAA0240	Homo sapiens
83857	transmembrane and tetratricopeptide repeat containing 1	Homo sapiens
6746	signal sequence receptor, beta (translocon-associated protein beta)	Homo sapiens
79918	SET domain containing 6	Homo sapiens
57111	RAB25, member RAS oncogene family	Homo sapiens
2672	growth factor independent 1 transcription repressor	Homo sapiens
1459	casein kinase 2, alpha prime polypeptide	Homo sapiens
26284	Era G-protein-like 1 (E. coli)	Homo sapiens
57477	shroom family member 4	Homo sapiens
65979	phosphatase and actin regulator 4	Homo sapiens
266727	MAM domain containing glycosylphosphatidylinositol anchor 1	Homo sapiens
51495	protein tyrosine phosphatase-like A domain containing 1	Homo sapiens
1811	solute carrier family 26, member 3	Homo sapiens
5071	Parkinson disease (autosomal recessive, juvenile) 2, parkin	Homo sapiens
90861	hematological and neurological expressed 1-like	Homo sapiens
57819	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	Homo sapiens
55074	oxidation resistance 1	Homo sapiens
284654	R-spondin homolog (Xenopus laevis)	Homo sapiens
25858	chromosome 11 open reading frame 20	Homo sapiens
57827	chromosome 6 open reading frame 47	Homo sapiens
5154	platelet-derived growth factor alpha polypeptide	Homo sapiens
329	baculoviral IAP repeat-containing 2	Homo sapiens
7150	topoisomerase (DNA) I	Homo sapiens
3827	kininogen 1	Homo sapiens
5204	prefoldin subunit 5	Homo sapiens
7289	tubby like protein 3	Homo sapiens
55860	actin-related protein 10 homolog (S. cerevisiae)	Homo sapiens
355	Fas (TNF receptor superfamily, member 6)	Homo sapiens
545	ataxia telangiectasia and Rad3 related; similar to ataxia telangiectasia and Rad3 related protein	Homo sapiens
55719	family with sequence similarity 178, member A	Homo sapiens
8549	leucine-rich repeat-containing G protein-coupled receptor 5	Homo sapiens
22848	AP2 associated kinase 1	Homo sapiens
146754	dynein, axonemal, heavy chain 2	Homo sapiens
79637	armadillo repeat containing 7	Homo sapiens
64718	unkempt homolog (Drosophila)-like	Homo sapiens
64145	zinc finger, FYVE domain containing 20	Homo sapiens
56203	leiomodin 3 (fetal)	Homo sapiens
23214	exportin 6	Homo sapiens
152002	chromosome 3 open reading frame 21	Homo sapiens
140609	NIMA (never in mitosis gene a)-related kinase 7	Homo sapiens
338949	transmembrane protein 202	Homo sapiens
8412	breast cancer anti-estrogen resistance 3	Homo sapiens
54602	Nedd4 family interacting protein 2	Homo sapiens
10227	major facilitator superfamily domain containing 10	Homo sapiens
79155	TNFAIP3 interacting protein 2	Homo sapiens
152503	SH3 domain containing 19	Homo sapiens
4681	neuroblastoma, suppression of tumorigenicity 1	Homo sapiens
8664	eukaryotic translation initiation factor 3, subunit D	Homo sapiens
9344	TAO kinase 2	Homo sapiens
3182	heterogeneous nuclear ribonucleoprotein A/B	Homo sapiens
79969	chromosome 6 open reading frame 134	Homo sapiens
9950	golgi autoantigen, golgin subfamily a, 5	Homo sapiens
51286	cell cycle exit and neuronal differentiation 1	Homo sapiens
23383	KIAA0892	Homo sapiens
55328	renalase, FAD-dependent amine oxidase	Homo sapiens
7329	ubiquitin-conjugating enzyme E2I (UBC9 homolog, yeast)	Homo sapiens
57787	MAP/microtubule affinity-regulating kinase 4	Homo sapiens
126792	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6	Homo sapiens
2186	bromodomain PHD finger transcription factor	Homo sapiens
10576	chaperonin containing TCP1, subunit 2 (beta)	Homo sapiens
54861	SNF related kinase	Homo sapiens
84440	RAB11 family interacting protein 4 (class II)	Homo sapiens
23410	sirtuin (silent mating type information regulation 2 homolog) 3 (S. cerevisiae)	Homo sapiens
55204	golgi phosphoprotein 3-like	Homo sapiens
54890	alkB, alkylation repair homolog 5 (E. coli)	Homo sapiens
5098	protocadherin gamma subfamily C, 3; protocadherin gamma subfamily C, 5; protocadherin gamma subfamily C, 4; protocadherin gamma subfamily A, 12	Homo sapiens
29970	schwannomin interacting protein 1	Homo sapiens
60481	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	Homo sapiens
79369	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	Homo sapiens
65084	transmembrane protein 135	Homo sapiens
80142	prostaglandin E synthase 2	Homo sapiens
112770	chromosome 1 open reading frame 85	Homo sapiens
64147	kinesin family member 9	Homo sapiens
7408	vasodilator-stimulated phosphoprotein	Homo sapiens
146853	chromosome 17 open reading frame 50	Homo sapiens
54617	INO80 homolog (S. cerevisiae)	Homo sapiens
54566	erythrocyte membrane protein band 4.1 like 4B	Homo sapiens
64398	membrane protein, palmitoylated 5 (MAGUK p55 subfamily member 5)	Homo sapiens
84141	family with sequence similarity 176, member A	Homo sapiens
91181	nucleoporin 210kDa-like	Homo sapiens
81669	cyclin L2; chemokine (C-C motif) receptor 6	Homo sapiens
2157	coagulation factor VIII, procoagulant component	Homo sapiens
6712	spectrin, beta, non-erythrocytic 2	Homo sapiens
8992	ATPase, H+ transporting, lysosomal 9kDa, V0 subunit e1	Homo sapiens
9601	protein disulfide isomerase family A, member 4	Homo sapiens
2064	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	Homo sapiens
116285	acyl-CoA synthetase medium-chain family member 1	Homo sapiens
51123	zinc finger protein 706	Homo sapiens
6880	TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa	Homo sapiens
6431	splicing factor, arginine/serine-rich 6; similar to arginine/serine-rich splicing factor 6	Homo sapiens
10017	BCL2-like 10 (apoptosis facilitator)	Homo sapiens
84945	abhydrolase domain containing 13	Homo sapiens
10312	T-cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 subunit A3	Homo sapiens
146760	reticulon 4 receptor-like 1	Homo sapiens
150684	copper metabolism (Murr1) domain containing 1	Homo sapiens
283554	G protein-coupled receptor 137C	Homo sapiens
23774	bromodomain containing 1	Homo sapiens
10767	HBS1-like (S. cerevisiae)	Homo sapiens
4595	mutY homolog (E. coli)	Homo sapiens
4801	nuclear transcription factor Y, beta	Homo sapiens
324	adenomatous polyposis coli	Homo sapiens
832	capping protein (actin filament) muscle Z-line, beta	Homo sapiens
55585	ubiquitin-conjugating enzyme E2Q family member 1	Homo sapiens
5956	opsin 1 (cone pigments), long-wave-sensitive	Homo sapiens
9205	zinc finger, MYM-type 5	Homo sapiens
84080	chromosome 16 open reading frame 48	Homo sapiens
2113	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	Homo sapiens
9376	solute carrier family 22 (organic anion transporter), member 8	Homo sapiens
54885	TBC1 domain family, member 8B (with GRAM domain)	Homo sapiens
1675	complement factor D (adipsin)	Homo sapiens
55624	protein O-linked mannose beta1,2-N-acetylglucosaminyltransferase	Homo sapiens
8862	apelin	Homo sapiens
1455	casein kinase 1, gamma 2	Homo sapiens
23499	microtubule-actin crosslinking factor 1	Homo sapiens
7351	uncoupling protein 2 (mitochondrial, proton carrier)	Homo sapiens
50618	intersectin 2	Homo sapiens
80821	DDHD domain containing 1	Homo sapiens
10000	v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	Homo sapiens
8936	WAS protein family, member 1	Homo sapiens
8650	numb homolog (Drosophila)	Homo sapiens
53841	mucin-like protocadherin	Homo sapiens
84266	alkB, alkylation repair homolog 7 (E. coli)	Homo sapiens
728215	family with sequence similarity 155, member A	Homo sapiens
23293	Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)	Homo sapiens
6566	solute carrier family 16, member 1 (monocarboxylic acid transporter 1)	Homo sapiens
9479	mitogen-activated protein kinase 8 interacting protein 1	Homo sapiens
121642	alkB, alkylation repair homolog 2 (E. coli)	Homo sapiens
84196	ubiquitin specific peptidase 48	Homo sapiens
9659	hypothetical protein LOC100134230; similar to KIAA0454 protein; similar to phosphodiesterase 4D interacting protein isoform 2; phosphodiesterase 4D interacting protein	Homo sapiens
8364	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b	Homo sapiens
121504	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b	Homo sapiens
8361	histone cluster 1, H4l; histone cluster 1, H4k; histone cluster 4, H4; histone cluster 1, H4h; histone cluster 1, H4j; histone cluster 1, H4i; histone cluster 1, H4d; histone cluster 1, H4c; histone cluster 1, H4f; histone cluster 1, H4e; histone cluster 1, H4b; histone cluster 1, H4a; histone cluster 2, H4a; histone cluster 2, H4b	Homo sapiens
23240	KIAA0922	Homo sapiens
23644	enhancer of mRNA decapping 4	Homo sapiens
286183	Na+/K+ transporting ATPase interacting 3	Homo sapiens
3572	interleukin 6 signal transducer (gp130, oncostatin M receptor)	Homo sapiens
10690	fucosyltransferase 9 (alpha (1,3) fucosyltransferase)	Homo sapiens
26122	enhancer of polycomb homolog 2 (Drosophila)	Homo sapiens
123720	WAS protein homolog associated with actin, golgi membranes and microtubules	Homo sapiens
317671	Rieske (Fe-S) domain containing	Homo sapiens
56907	spire homolog 1 (Drosophila)	Homo sapiens
3958	lectin, galactoside-binding, soluble, 3	Homo sapiens
10982	microtubule-associated protein, RP/EB family, member 2	Homo sapiens
727	complement component 5	Homo sapiens
26047	contactin associated protein-like 2	Homo sapiens
55768	N-glycanase 1	Homo sapiens
84937	zinc and ring finger 1	Homo sapiens
8880	far upstream element (FUSE) binding protein 1	Homo sapiens
5236	phosphoglucomutase 1	Homo sapiens
55530	SV2 related protein homolog (rat)	Homo sapiens
7093	tolloid-like 2	Homo sapiens
10166	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	Homo sapiens
5923	Ras protein-specific guanine nucleotide-releasing factor 1	Homo sapiens
9656	mediator of DNA-damage checkpoint 1	Homo sapiens
5694	proteasome (prosome, macropain) subunit, beta type, 6	Homo sapiens
3030	hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), alpha subunit	Homo sapiens
1112	forkhead box N3	Homo sapiens
23028	lysine (K)-specific demethylase 1	Homo sapiens
375387	leucine rich repeat containing 33	Homo sapiens
84987	chromosome 12 open reading frame 62	Homo sapiens
28992	MACRO domain containing 1	Homo sapiens
860	runt-related transcription factor 2	Homo sapiens
126208	zinc finger protein 787	Homo sapiens
6232	ribosomal protein S27 pseudogene 29; ribosomal protein S27 pseudogene 9; ribosomal protein S27 pseudogene 23; ribosomal protein S27 pseudogene 13; ribosomal protein S27; ribosomal protein S27 pseudogene 21; ribosomal protein S27 pseudogene 7; ribosomal protein S27 pseudogene 6; ribosomal protein S27 pseudogene 19	Homo sapiens
100129480	similar to hCG2042446	Homo sapiens
55662	hypoxia inducible factor 1, alpha subunit inhibitor	Homo sapiens
84929	fibrinogen C domain containing 1	Homo sapiens
11102	ribonuclease P/MRP 14kDa subunit	Homo sapiens
317772	histone cluster 2, H2ab	Homo sapiens
728464	chromosome 6 open reading frame 186	Homo sapiens
4604	myosin binding protein C, slow type	Homo sapiens
64149	chromosome 17 open reading frame 75	Homo sapiens
83853	ropporin 1-like	Homo sapiens
9870	KIAA0317	Homo sapiens
10531	pitrilysin metallopeptidase 1	Homo sapiens
1066	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	Homo sapiens
1398	v-crk sarcoma virus CT10 oncogene homolog (avian)	Homo sapiens
506	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide	Homo sapiens
135138	PARK2 co-regulated	Homo sapiens
114569	mal, T-cell differentiation protein 2	Homo sapiens
9409	peroxisomal biogenesis factor 16	Homo sapiens
54887	UHRF1 binding protein 1	Homo sapiens
